iter	Passed	Remaining
401	13710	6752
402	13743	6718
403	13775	6683
404	13807	6648
405	13840	6613
406	13877	6580
407	13909	6545
408	13942	6511
409	13974	6476
410	14007	6441
411	14041	6407
412	14072	6372
413	14104	6336
414	14137	6302
415	14174	6269
416	14220	6240
417	14266	6211
418	14310	6181
419	14348	6149
420	14378	6113
421	14412	6078
422	14443	6043
423	14477	6009
424	14508	5973
425	14541	5939
426	14574	5904
427	14606	5869
428	14637	5834
429	14675	5801
430	14710	5768
431	14743	5733
432	14775	5698
433	14807	5663
434	14839	5628
435	14871	5593
436	14902	5558
437	14932	5522
438	14961	5486
439	14992	5451
440	15024	5417
441	15056	5382
442	15089	5347
443	15122	5313
444	15154	5278
445	15186	5243
446	15219	5209
447	15250	5174
448	15279	5138
449	15311	5103
450	15345	5069
451	15384	5037
452	15429	5007
453	15475	4976
454	15514	4944
455	15548	4910
456	15578	4874
457	15611	4840
458	15647	4806
459	15679	4771
460	15710	4736
461	15742	4702
462	15772	4667
463	15803	4632
464	15837	4597
465	15868	4563
466	15899	4528
467	15930	4493
468	15963	4459
469	15996	4424
470	16025	4389
471	16054	4353
472	16085	4318
473	16119	4284
474	16153	4250
475	16185	4216
476	16216	4181
477	16248	4147
478	16280	4112
479	16313	4078
480	16377	4051
481	16417	4019
482	16453	3985
483	16484	3950
484	16515	3916
485	16548	3881
486	16589	3849
487	16636	3818
488	16693	3789
489	16733	3756
490	16766	3722
491	16797	3687
492	16828	3652
493	16860	3617
494	16891	3583
495	16924	3548
496	16956	3514
497	16988	3479
498	17022	3445
499	17057	3411
500	17088	3376
501	17120	3342
502	17151	3307
503	17186	3273
504	17220	3239
505	17252	3204
506	17282	3170
507	17315	3135
508	17348	3101
509	17379	3066
510	17413	3032
511	17446	2998
512	17478	2964
513	17508	2929
514	17540	2895
515	17574	2860
516	17606	2826
517	17641	2792
518	17675	2758
519	17715	2725
520	17749	2691
521	17787	2657
522	17836	2625
523	17886	2594
524	17925	2560
525	17958	2526
526	17990	2491
527	18020	2457
528	18053	2423
529	18088	2389
530	18119	2354
531	18149	2319
532	18182	2285
533	18215	2251
534	18248	2217
535	18280	2182
536	18313	2148
537	18346	2114
538	18380	2080
539	18414	2046
540	18474	2014
541	18515	1981
542	18553	1947
543	18583	1912
544	18614	1878
545	18644	1843
546	18673	1809
547	18705	1774
548	18739	1740
549	18774	1706
550	18806	1672
551	18839	1638
552	18872	1603
553	18903	1569
554	18934	1535
555	18975	1501
556	19015	1468
557	19072	1435
558	19116	1402
559	19153	1368
560	19184	1333
561	19216	1299
562	19252	1265
563	19283	1230
564	19316	1196
565	19348	1162
566	19378	1127
567	19408	1093
568	19440	1059
569	19472	1024
570	19504	990
571	19534	956
572	19565	921
573	19597	887
574	19627	853
575	19658	819
576	19690	784
577	19723	750
578	19755	716
579	19788	682
580	19821	648
581	19856	614
582	19889	579
583	19920	545
584	19956	511
585	19989	477
586	20019	443
587	20051	409
588	20082	375
589	20114	340
590	20149	306
591	20192	272
592	20235	238
593	20283	204
594	20323	170
595	20355	136
596	20385	102
597	20420	68
598	20452	34
599	20483	0
