iter	RMSE
335	11080.08335
336	11072.53151
337	11069.21276
338	11062.17219
339	11049.74773
340	11039.53275
341	11030.87576
342	11026.26343
343	11025.9144
344	11016.55767
345	11014.86801
346	11014.20459
347	10997.94215
348	10996.42973
349	10992.30128
350	10989.24952
351	10980.64634
352	10972.89313
353	10963.10526
354	10956.32404
355	10954.68476
356	10951.06742
357	10946.46154
358	10945.80175
359	10945.27347
360	10940.35694
361	10938.41722
362	10936.10203
363	10927.30169
364	10923.15824
365	10919.08372
366	10918.83242
367	10915.52618
368	10909.68113
369	10901.67588
370	10900.97142
371	10895.81633
372	10895.32115
373	10895.10131
374	10894.72697
375	10891.53827
376	10879.89928
377	10879.28381
378	10876.88442
379	10872.11885
380	10869.85843
381	10869.32266
382	10866.37971
383	10865.72512
384	10863.18509
385	10862.56728
386	10861.24247
387	10860.56979
388	10856.71026
389	10856.26132
390	10852.67061
391	10848.76664
392	10848.3379
393	10847.64414
394	10845.42297
395	10845.2295
396	10844.61851
397	10842.48965
398	10838.03046
399	10837.65482
400	10833.17203
401	10829.71294
402	10823.19641
403	10820.48666
404	10819.99608
405	10811.0871
406	10805.46318
407	10803.60393
408	10794.11008
409	10793.54668
410	10793.19873
411	10785.96988
412	10779.60304
413	10777.93596
414	10775.74876
415	10773.45875
416	10772.91148
417	10770.84045
418	10765.80117
419	10759.51594
420	10758.91064
421	10756.92736
422	10754.91941
423	10752.41712
424	10747.80165
425	10739.12517
426	10738.72382
427	10738.43009
428	10732.27642
429	10728.64419
430	10720.08971
431	10717.16602
432	10708.99997
433	10703.96079
434	10699.31532
435	10695.62289
436	10694.91283
437	10692.11633
438	10690.7908
439	10690.30604
440	10690.05582
441	10685.82074
442	10681.6138
443	10681.08115
444	10680.43256
445	10675.14724
446	10670.86086
447	10668.73421
448	10668.29313
449	10663.47671
450	10663.04884
451	10662.55267
452	10662.3282
453	10661.84851
454	10661.51032
455	10653.93807
456	10653.54857
457	10646.85314
458	10644.88166
459	10639.97287
460	10639.32163
461	10636.11033
462	10627.21194
463	10621.45066
464	10618.62152
465	10617.82526
466	10608.04273
467	10607.62336
468	10601.96123
469	10596.62148
470	10596.18787
471	10595.74304
472	10594.81154
473	10589.05205
474	10585.93951
475	10570.64885
476	10563.45618
477	10563.19359
478	10558.73689
479	10557.36315
480	10556.47603
481	10551.07078
482	10542.06654
483	10541.79811
484	10540.5295
485	10540.11701
486	10535.69167
487	10535.00495
488	10534.52381
489	10513.41837
490	10509.58034
491	10508.93005
492	10506.30505
493	10498.18056
494	10497.77971
495	10492.06326
496	10489.41102
497	10488.99035
498	10480.40296
499	10479.89276
500	10479.11232
501	10474.44184
502	10458.02849
503	10456.25546
504	10452.05661
505	10447.27004
506	10442.72015
507	10438.23034
508	10435.29547
509	10431.24371
510	10429.2441
511	10428.87221
512	10428.37425
513	10423.18468
514	10422.6083
515	10417.89081
516	10417.56961
517	10414.20995
518	10411.04878
519	10410.74213
520	10403.44683
521	10403.086
522	10402.74624
523	10399.67234
524	10398.5015
525	10394.48564
526	10394.18884
527	10388.2874
528	10383.85936
529	10377.55607
530	10376.04007
531	10375.69962
532	10375.02069
533	10360.61265
534	10358.35099
535	10357.26798
536	10355.5445
537	10354.48887
538	10351.0411
539	10349.35616
540	10347.48534
541	10346.84268
542	10345.78332
543	10345.39142
544	10344.78966
545	10342.6201
546	10342.03919
547	10334.96007
548	10332.5222
549	10326.75555
550	10326.22276
551	10322.07143
552	10320.0208
553	10318.06316
554	10317.76131
555	10314.83181
556	10309.09836
557	10308.70151
558	10304.12121
559	10303.84576
560	10301.15188
561	10299.58686
562	10298.12827
563	10297.80154
564	10293.74332
565	10293.42226
566	10293.00108
567	10288.89906
568	10287.92019
569	10284.16748
570	10280.42556
571	10280.17291
572	10276.0135
573	10275.6999
574	10275.24773
575	10275.01402
576	10264.44508
577	10261.22583
578	10258.26608
579	10257.1384
580	10251.21982
581	10242.1074
582	10239.76647
583	10239.41613
584	10236.88396
585	10232.86382
586	10228.08691
587	10227.19469
588	10223.10399
589	10217.4212
590	10213.15378
591	10206.18223
592	10204.19214
593	10200.33794
594	10190.99606
595	10184.90726
596	10175.48527
597	10173.93118
598	10170.45476
599	10168.65511
